id,height,face,torso,left_shin,left_shin2,right_shin,shoulder,left_arm,right_arm,var1,var2,var3,var4
2dd04a,974.1763823,31.30245935,349.5681961,193.8815227,257.4755149,197.6454181,249.4366561,212.1650427,199.9114445,3,59,94,12
2dd0ae,972.7936255,31.30245935,350.3437449,194.3259713,257.5519311,197.1531049,248.8414833,212.0380871,200.6048074,5,56,99,10
2dd306,829.5622008,17.04237509,288.306164,200.9461097,264.7580579,198.2640498,163.5938729,133.2709333,155.0582319,5,56,98,12
2dd36a,829.3779337,17.04237509,288.5022256,201.0831547,264.8267643,198.2530587,163.4196644,133.0219746,154.9977919,5,58,93,12
2dd3ce,829.237784,17.04237509,288.6946159,201.1526756,264.8636596,198.2453807,163.2566537,132.6262674,154.8084464,2,55,98,12
2dd432,828.9554455,17.04237509,288.8831213,201.2131314,264.7183484,198.173609,163.0472097,132.1530306,154.6141344,4,57,93,12
2dd496,828.6875051,17.04237509,289.0127865,201.3446011,264.62233,198.0362595,162.8462535,131.6073384,154.4196581,5,57,94,12
2dd6ee,410.8305871,5.868606121,107.1157784,107.8610943,147.5340562,113.5018324,74.33400007,30.25221577,40.77498303,5,59,96,11
2dd752,410.7662797,5.868606121,106.7622983,107.8806542,147.643499,113.5919025,74.33400007,30.25221577,40.77498303,4,55,95,11
2dd7b6,410.8224718,5.868606121,106.5847311,107.7934475,147.7128602,113.6591256,74.33400007,30.25221577,40.77498303,5,58,97,11
2dd81a,411.1097683,5.868606121,106.5188527,107.7487756,147.6123255,113.7071542,74.33400007,30.25221577,40.77498303,5,56,96,11
2dd87e,411.5494622,5.868606121,106.5411552,107.7475197,147.5117386,113.7295854,74.33400007,30.25221577,40.77498303,2,57,95,11
2ddad6,630.5720424,8.832094533,165.5161809,177.8358609,272.1060295,180.1060558,108.0384307,105.9312766,107.1386997,5,58,94,11
2ddb3a,632.0886474,8.208110477,164.3128851,177.9481202,271.8106954,180.3970473,108.8922661,106.7042172,107.0067874,4,55,98,11
2ddb9e,633.64133,7.857550567,163.1144134,177.996683,271.6585099,180.7323231,109.7920197,107.3351545,107.0699613,5,57,94,11
2ddc02,635.5876279,7.439257204,161.7094204,178.1167133,271.3886244,181.1704886,110.883754,108.2615024,107.385379,3,57,97,11
2ddc66,637.0301178,7.705089796,160.034808,177.96187,271.3538954,181.565824,112.1164567,109.6231398,108.003246,1,56,97,11
2ddebe,603.7897297,29.84773113,217.6783279,124.2148865,161.0713511,114.8306651,141.1706595,93.65547698,78.13007773,1,56,98,11
2ddf22,602.938453,29.08079985,217.6481312,124.5329772,161.1706934,115.0997018,141.0152306,93.17276409,77.36825864,1,55,94,11
2ddf86,601.8707075,27.63800023,217.6170375,124.9176382,161.2200069,115.3777966,140.7356109,92.83963062,76.58054129,2,60,98,11
2ddfea,600.6355731,26.37794263,217.5918773,125.237821,161.4405018,115.5969407,140.3755493,92.63654553,75.82870244,5,57,96,11
2de04e,599.3790727,25.54490579,217.5009412,125.5490531,161.5877755,115.7569654,139.9379604,92.4116643,75.15260495,2,57,96,11
2de2a6,683.421175,18.71954855,263.0734418,156.5804876,245.2265194,146.5335607,134.8801637,131.0838163,125.6791363,4,60,94,12
2de30a,682.760417,17.65041067,262.9382405,156.5110184,245.2387662,146.3391782,134.7556711,130.9924147,125.5226621,3,57,96,12
2de36e,682.1802861,16.93091029,262.8702709,156.4449521,245.4448901,146.2733422,134.5043152,130.8981569,125.3272387,4,57,97,12
2de3d2,681.8383003,16.70720569,262.7993012,156.4468333,245.7301862,146.4748293,134.2434977,130.7567581,125.2132551,5,57,98,12
2de436,681.8227278,16.96713707,262.5916794,156.5838703,246.0558891,146.7481628,134.0510918,130.6635882,125.1394697,2,55,98,12
2de68e,854.8046642,113.6174934,328.3401276,149.8412878,170.6124905,156.0890685,226.4619965,172.4473919,179.2319499,4,59,99,10
2de6f2,854.481218,113.4959618,328.2165597,149.6454599,170.8243488,155.9553399,226.4663362,172.5824701,179.4708757,4,58,99,10
2de756,854.1306887,113.4008633,328.1569349,149.4497973,171.0972706,155.7600326,226.4697924,172.7676661,179.7594204,1,57,94,10
2de7ba,853.8392256,113.268416,328.0931213,149.3184036,171.4318991,155.5653695,226.4732306,172.9064045,180.1408407,4,60,96,10
2de81e,853.6569336,113.1354239,328.023822,149.3156179,171.5598893,155.3694621,226.4776476,172.9489084,180.4777105,1,58,99,10
2dea76,618.0511561,15.94157855,169.0583782,154.2998662,184.4152705,162.8256695,119.0800351,110.9001383,103.1294284,2,59,95,12
2deada,619.3531189,15.63334851,168.0959955,154.6575915,184.9656144,163.3933324,120.7243655,111.5973697,103.0280317,1,59,99,12
2deb3e,620.1738413,15.31224767,166.7893698,154.8226025,185.4459395,163.6246174,122.6422366,112.1181041,102.9243127,2,57,93,12
